nodes,corr
16,0.7274003110162579
11,0.7128262903311137
15,0.2017704763773683
13,0.6404079431149361
11,0.7949555004210558
11,0.4355624598527834
15,0.6707643427616593
11,0.42097982615725116
13,0.7786380608458393
14,0.7659510424753867
12,0.09495176288221555
12,0.8673713944331092
18,0.8726771929364313
18,0.5349946393361139
18,0.6251497703309105
14,0.943408433506848
14,0.6584886749854757
19,0.5696915094542065
13,0.7220151373871313
13,0.8475118229045056
14,0.7320866650438348
19,0.32346882455143033
14,0.46116547422667564
12,0.9631884572464805
11,0.7859487114912639
12,0.953918089703312
12,0.750635251674967
11,0.7701146915291553
11,0.6807890114697284
11,0.4120178585851578
12,0.6635017730248168
12,0.6782004741980433
11,0.8500698311005511
13,0.22401069627658116
11,0.4680017895407497
12,0.789515005153191
11,0.9343152369784459
13,0.6618127819110927
14,0.6519196026683574
11,0.3060484375399954
13,0.30428778725201316
15,0.5753802240429523
15,0.37458088410085005
18,0.12827132321435397
19,0.6532217954505845
18,0.5724733625061819
14,0.8629788014295233
