36,11,40,20,5,8,0,6,4,0,1,0
0,20,4,0,7,7,0,0,2,0,1,0
10,3,2,2,0,0,0,0,0,0,0,0
0,0,0,2,0,0,10,0,0,2,0,2
0,2,4,0,2,0,0,0,0,3,0,0
0,5,0,1,2,0,0,0,0,0,1,0
5,2,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,2,0,0,0,0
0,2,0,0,0,1,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
