nodes,corr
25,0.2062376348833067
16,0.7274003110162579
21,0.5119646695851617
15,0.20177047637736834
13,0.6404079431149362
15,0.6707643427616591
55,0.2833108079269919
25,0.535870083860852
13,0.7786380608458393
30,0.8306062669078826
53,0.4376519521356451
14,0.7659510424753868
21,0.15197784312789447
23,0.6616418785081188
12,0.0949517628822156
29,0.4975937177385472
58,0.1748413652987556
12,0.8673713944331092
18,0.8726771929364315
18,0.5349946393361138
32,0.6279733427959988
18,0.6251497703309103
14,0.943408433506848
27,0.6728249582089947
14,0.6584886749854756
19,0.5696915094542065
13,0.7220151373871313
23,0.4834781367865812
13,0.8475118229045056
14,0.7320866650438348
19,0.3234688245514305
44,0.8611228537613034
26,0.7692516681150081
14,0.46116547422667564
12,0.9631884572464803
21,0.6066568642764653
12,0.953918089703312
21,0.6567942751149599
12,0.7506352516749669
44,0.47586530220945045
50,0.5667365633385877
22,0.8507236285698165
41,0.6273697711727193
39,0.4848901092092864
12,0.6635017730248168
51,0.49915828022230513
12,0.6782004741980434
13,0.22401069627658127
23,0.6742373551740584
12,0.7895150051531912
37,0.31245331605714693
13,0.6618127819110927
14,0.6519196026683574
13,0.30428778725201316
37,0.6793714625947487
15,0.5753802240429523
15,0.37458088410085016
18,0.128271323214354
19,0.6532217954505846
18,0.5724733625061817
14,0.8629788014295235
